,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan,FLOPS,AVGVimPreprocessTime,AVGVimPredictTime,AVGVimTFLitePredictTime
3388,3389,45,512,256,256,0.0,2,0 days 00:00:00.011823,0 days 00:02:01.229064,86.60000000000001,87.39999999999999,61.666666666666664,28154006.0,0 days 00:00:00.049552,0 days 00:00:00.296180,0 days 00:00:00.007203
3389,3390,45,512,256,256,0.0,3,0 days 00:00:00.011823,0 days 00:01:54.962124,88.66666666666667,89.60000000000001,71.0,62706166.0,0 days 00:00:00.048173,0 days 00:00:00.295901,0 days 00:00:00.013741
3390,3391,45,512,256,256,0.0,5,0 days 00:00:00.011823,0 days 00:02:18.145041,90.73333333333333,91.26666666666665,74.33333333333333,173273078.0,0 days 00:00:00.052486,0 days 00:00:00.311899,0 days 00:00:00.034254
3391,3392,45,512,256,256,0.0,7,0 days 00:00:00.011823,0 days 00:02:25.733582,89.2,89.13333333333333,63.333333333333336,339123446.0,0 days 00:00:00.048571,0 days 00:00:00.308982,0 days 00:00:00.066983
3392,3393,45,512,512,128,0.75,2,0 days 00:00:00.014265,0 days 00:02:24.168888,85.2,86.66666666666667,61.0,56228307.333333336,0 days 00:00:00.055227,0 days 00:00:00.302415,0 days 00:00:00.014464
3393,3394,45,512,512,128,0.75,3,0 days 00:00:00.014265,0 days 00:03:05.529338,89.26666666666667,89.66666666666667,65.0,125232974.0,0 days 00:00:00.053037,0 days 00:00:00.307549,0 days 00:00:00.027389
3394,3395,45,512,512,128,0.75,5,0 days 00:00:00.014265,0 days 00:03:43.078659,91.46666666666665,91.93333333333334,67.0,346047907.3333333,0 days 00:00:00.058890,0 days 00:00:00.318732,0 days 00:00:00.068473
3395,3396,45,512,512,128,0.75,7,0 days 00:00:00.014265,0 days 00:04:40.395747,93.06666666666666,93.39999999999999,70.33333333333333,677270307.3333334,0 days 00:00:00.054859,0 days 00:00:00.329643,0 days 00:00:00.132593
3396,3397,45,512,512,256,0.5,2,0 days 00:00:00.011912,0 days 00:02:04.127192,87.2,88.8,65.33333333333333,28154006.0,0 days 00:00:00.048573,0 days 00:00:00.287978,0 days 00:00:00.007240
3397,3398,45,512,512,256,0.5,3,0 days 00:00:00.011912,0 days 00:01:48.767547,90.8,91.33333333333333,67.33333333333333,62706166.0,0 days 00:00:00.049814,0 days 00:00:00.307027,0 days 00:00:00.013761
3398,3399,45,512,512,256,0.5,5,0 days 00:00:00.011912,0 days 00:02:24.153159,92.0,92.2,70.33333333333333,173273078.0,0 days 00:00:00.049724,0 days 00:00:00.305042,0 days 00:00:00.034881
3399,3400,45,512,512,256,0.5,7,0 days 00:00:00.011912,0 days 00:02:40.011598,92.39999999999999,92.86666666666667,69.0,339123446.0,0 days 00:00:00.050484,0 days 00:00:00.314573,0 days 00:00:00.067054
3400,3401,45,512,512,384,0.25,2,0 days 00:00:00.010430,0 days 00:01:39.825831,87.66666666666667,88.86666666666667,70.33333333333333,18663534.0,0 days 00:00:00.042297,0 days 00:00:00.297622,0 days 00:00:00.004721
3401,3402,45,512,512,384,0.25,3,0 days 00:00:00.010430,0 days 00:01:44.899201,91.46666666666665,91.53333333333335,68.33333333333333,41567454.0,0 days 00:00:00.047537,0 days 00:00:00.304342,0 days 00:00:00.009088
3402,3403,45,512,512,384,0.25,5,0 days 00:00:00.010430,0 days 00:01:46.452887,94.0,94.13333333333333,74.0,114859998.0,0 days 00:00:00.043931,0 days 00:00:00.303142,0 days 00:00:00.023081
3403,3404,45,512,512,384,0.25,7,0 days 00:00:00.010430,0 days 00:02:06.274089,92.06666666666666,91.19999999999999,69.66666666666667,224798814.0,0 days 00:00:00.047361,0 days 00:00:00.306725,0 days 00:00:00.044241
3404,3405,45,512,512,512,0.0,2,0 days 00:00:00.010495,0 days 00:01:24.570841,89.39999999999999,90.06666666666668,73.33333333333333,14027312.666666666,0 days 00:00:00.047573,0 days 00:00:00.296755,0 days 00:00:00.003680
3405,3406,45,512,512,512,0.0,3,0 days 00:00:00.010495,0 days 00:01:28.140580,93.53333333333335,93.46666666666665,75.66666666666667,31241606.0,0 days 00:00:00.044277,0 days 00:00:00.298808,0 days 00:00:00.006924
3406,3407,45,512,512,512,0.0,5,0 days 00:00:00.010495,0 days 00:01:33.469606,95.73333333333333,95.93333333333334,78.66666666666667,86327344.66666667,0 days 00:00:00.036742,0 days 00:00:00.297818,0 days 00:00:00.017384
3407,3408,45,512,512,512,0.0,7,0 days 00:00:00.010495,0 days 00:01:48.624799,94.93333333333334,95.2,75.33333333333333,168955952.66666666,0 days 00:00:00.045525,0 days 00:00:00.305674,0 days 00:00:00.033007
3408,3409,45,1024,256,64,0.75,2,0 days 00:00:00.021034,0 days 00:05:18.750635,88.06666666666666,88.13333333333333,64.66666666666667,112176272.66666667,0 days 00:00:00.094412,0 days 00:00:00.306312,0 days 00:00:00.029233
3409,3410,45,1024,256,64,0.75,3,0 days 00:00:00.021034,0 days 00:04:25.215179,89.33333333333333,90.26666666666667,67.0,249840006.0,0 days 00:00:00.094807,0 days 00:00:00.316400,0 days 00:00:00.055061
3410,3411,45,1024,256,64,0.75,5,0 days 00:00:00.021034,0 days 00:05:56.362772,90.13333333333333,90.66666666666667,68.66666666666667,690363952.6666666,0 days 00:00:00.093521,0 days 00:00:00.337741,0 days 00:00:00.137931
3411,3412,45,1024,256,64,0.75,7,0 days 00:00:00.021034,0 days 00:08:34.435826,88.39999999999999,89.39999999999999,62.666666666666664,1351149872.6666667,0 days 00:00:00.090207,0 days 00:00:00.372610,0 days 00:00:00.269990
3412,3413,45,1024,256,128,0.5,2,0 days 00:00:00.014035,0 days 00:03:12.102316,87.13333333333333,87.26666666666665,62.333333333333336,56228307.333333336,0 days 00:00:00.069343,0 days 00:00:00.304745,0 days 00:00:00.014379
