,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
82,17,3,512,256,64,0.75,2,3,0 days 00:00:00.025440,0 days 00:00:48.390574,66.0,64.0,36,0 days 00:00:00.073152,0 days 00:00:00.270854,0 days 00:00:00.002886
83,17,3,512,256,64,0.75,2,4,0 days 00:00:00.025440,0 days 00:00:29.641882,71.0,64.0,22,0 days 00:00:00.075706,0 days 00:00:00.270934,0 days 00:00:00.002910
84,17,3,512,256,64,0.75,2,5,0 days 00:00:00.025440,0 days 00:00:20.469581,65.0,57.99999999999999,15,0 days 00:00:00.092497,0 days 00:00:00.264361,0 days 00:00:00.002830
85,18,3,512,256,64,0.75,3,1,0 days 00:00:00.025440,0 days 00:01:05.535387,60.0,69.0,42,0 days 00:00:00.078179,0 days 00:00:00.277089,0 days 00:00:00.005433
86,18,3,512,256,64,0.75,3,2,0 days 00:00:00.025440,0 days 00:01:07.570784,60.0,70.0,41,0 days 00:00:00.081291,0 days 00:00:00.291753,0 days 00:00:00.005687
87,18,3,512,256,64,0.75,3,3,0 days 00:00:00.025440,0 days 00:01:11.748359,42.0,62.0,40,0 days 00:00:00.073763,0 days 00:00:00.277625,0 days 00:00:00.005779
88,18,3,512,256,64,0.75,3,4,0 days 00:00:00.025440,0 days 00:02:05.518283,31.0,60.0,80,0 days 00:00:00.075673,0 days 00:00:00.271836,0 days 00:00:00.005608
89,18,3,512,256,64,0.75,3,5,0 days 00:00:00.025440,0 days 00:00:49.944170,0.0,52.0,30,0 days 00:00:00.073002,0 days 00:00:00.268114,0 days 00:00:00.005549
90,19,3,512,256,64,0.75,5,1,0 days 00:00:00.025440,0 days 00:01:28.270326,60.0,70.0,36,0 days 00:00:00.075440,0 days 00:00:00.307062,0 days 00:00:00.014392
91,19,3,512,256,64,0.75,5,2,0 days 00:00:00.025440,0 days 00:01:08.863087,41.0,62.0,28,0 days 00:00:00.084684,0 days 00:00:00.286624,0 days 00:00:00.014440
