,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan,FLOPS,AVGVimPreprocessTime,AVGVimPredictTime,AVGVimTFLitePredictTime
61,62,3,1024,256,256,0.0,3,0 days 00:00:00.011138,0 days 00:00:54.645186,87.8,88.0,77,6944078.0,0 days 00:00:00.048313,0 days 00:00:00.274735,0 days 00:00:00.001518
62,63,3,1024,256,256,0.0,5,0 days 00:00:00.011138,0 days 00:01:09.636949,93.0,93.2,80,19198030.0,0 days 00:00:00.046810,0 days 00:00:00.276076,0 days 00:00:00.003820
63,64,3,1024,256,256,0.0,7,0 days 00:00:00.011138,0 days 00:01:28.137365,94.6,95.0,80,37578958.0,0 days 00:00:00.048038,0 days 00:00:00.281476,0 days 00:00:00.007338
64,65,3,1024,512,128,0.75,2,0 days 00:00:00.013961,0 days 00:00:11.233109,73.0,67.4,19,6188142.0,0 days 00:00:00.067381,0 days 00:00:00.278707,0 days 00:00:00.001457
65,66,3,1024,512,128,0.75,3,0 days 00:00:00.013961,0 days 00:01:08.860232,91.8,92.6,70,13795902.0,0 days 00:00:00.070558,0 days 00:00:00.287799,0 days 00:00:00.002916
66,67,3,1024,512,128,0.75,5,0 days 00:00:00.013961,0 days 00:01:28.232229,95.0,95.4,78,38140734.0,0 days 00:00:00.070112,0 days 00:00:00.293617,0 days 00:00:00.007447
67,68,3,1024,512,128,0.75,7,0 days 00:00:00.013961,0 days 00:01:48.214375,96.4,96.6,80,74657982.0,0 days 00:00:00.074758,0 days 00:00:00.286593,0 days 00:00:00.014305
68,69,3,1024,512,256,0.5,2,0 days 00:00:00.008832,0 days 00:00:28.777578,79.2,78.8,43,3114718.0,0 days 00:00:00.050390,0 days 00:00:00.272055,0 days 00:00:00.000828
69,70,3,1024,512,256,0.5,3,0 days 00:00:00.008832,0 days 00:00:47.339176,86.0,86.2,65,6944078.0,0 days 00:00:00.047774,0 days 00:00:00.273776,0 days 00:00:00.001517
70,71,3,1024,512,256,0.5,5,0 days 00:00:00.008832,0 days 00:01:11.826168,91.2,91.4,79,19198030.0,0 days 00:00:00.055249,0 days 00:00:00.288853,0 days 00:00:00.003869
71,72,3,1024,512,256,0.5,7,0 days 00:00:00.008832,0 days 00:01:21.406472,93.2,93.6,80,37578958.0,0 days 00:00:00.054913,0 days 00:00:00.287329,0 days 00:00:00.007380
72,73,3,1024,512,384,0.25,2,0 days 00:00:00.010235,0 days 00:00:32.093744,80.8,82.6,48,2046022.0,0 days 00:00:00.059936,0 days 00:00:00.278991,0 days 00:00:00.000543
73,74,3,1024,512,384,0.25,3,0 days 00:00:00.010235,0 days 00:01:00.788591,90.6,91.2,66,4561222.0,0 days 00:00:00.050157,0 days 00:00:00.272909,0 days 00:00:00.000998
74,75,3,1024,512,384,0.25,5,0 days 00:00:00.010235,0 days 00:01:05.397601,94.2,95.0,80,12609862.0,0 days 00:00:00.068681,0 days 00:00:00.273676,0 days 00:00:00.002474
75,76,3,1024,512,384,0.25,7,0 days 00:00:00.010235,0 days 00:01:11.400829,94.4,94.8,80,24682822.0,0 days 00:00:00.051759,0 days 00:00:00.282661,0 days 00:00:00.004705
76,77,3,1024,512,512,0.0,2,0 days 00:00:00.009529,0 days 00:00:27.808435,82.0,82.0,43,1551302.0,0 days 00:00:00.042819,0 days 00:00:00.275315,0 days 00:00:00.000452
77,78,3,1024,512,512,0.0,3,0 days 00:00:00.009529,0 days 00:01:05.528159,92.4,92.6,80,3458182.0,0 days 00:00:00.051371,0 days 00:00:00.281711,0 days 00:00:00.000803
78,79,3,1024,512,512,0.0,5,0 days 00:00:00.009529,0 days 00:00:56.589870,92.4,92.4,78,9560198.0,0 days 00:00:00.044778,0 days 00:00:00.284069,0 days 00:00:00.001999
79,80,3,1024,512,512,0.0,7,0 days 00:00:00.009529,0 days 00:00:58.720490,92.8,93.4,80,18713222.0,0 days 00:00:00.047428,0 days 00:00:00.274280,0 days 00:00:00.003706
80,81,3,1024,1024,256,0.75,2,0 days 00:00:00.009733,0 days 00:00:35.815805,77.4,77.6,41,3114718.0,0 days 00:00:00.050496,0 days 00:00:00.273977,0 days 00:00:00.000808
81,82,3,1024,1024,256,0.75,3,0 days 00:00:00.009733,0 days 00:00:31.782075,82.2,81.6,45,6944078.0,0 days 00:00:00.051871,0 days 00:00:00.279216,0 days 00:00:00.001514
