,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan,FLOPS,AVGVimPreprocessTime,AVGVimPredictTime,AVGVimTFLitePredictTime
61,62,3,1024,256,256,0.0,3,0 days 00:00:00.013519,0 days 00:00:45.891047,59.6,69.4,57,6993734.0,0 days 00:00:00.066714,0 days 00:00:00.283402,0 days 00:00:00.001522
62,63,3,1024,256,256,0.0,5,0 days 00:00:00.013519,0 days 00:00:49.467505,59.8,68.2,50,19334982.0,0 days 00:00:00.061652,0 days 00:00:00.271632,0 days 00:00:00.003803
63,64,3,1024,256,256,0.0,7,0 days 00:00:00.013519,0 days 00:01:10.821458,74.8,73.0,55,37846854.0,0 days 00:00:00.064248,0 days 00:00:00.275456,0 days 00:00:00.007255
64,65,3,1024,512,128,0.75,2,0 days 00:00:00.019517,0 days 00:00:32.495684,48.2,60.8,32,6319902.0,0 days 00:00:00.078222,0 days 00:00:00.270387,0 days 00:00:00.001442
65,66,3,1024,512,128,0.75,3,0 days 00:00:00.019517,0 days 00:00:41.393457,17.0,55.4,39,14089742.0,0 days 00:00:00.082439,0 days 00:00:00.274123,0 days 00:00:00.002908
66,67,3,1024,512,128,0.75,5,0 days 00:00:00.019517,0 days 00:00:50.520904,39.4,63.6,33,38953230.0,0 days 00:00:00.084889,0 days 00:00:00.294544,0 days 00:00:00.007402
67,68,3,1024,512,128,0.75,7,0 days 00:00:00.019517,0 days 00:02:01.738976,64.6,71.4,58,76248462.0,0 days 00:00:00.082449,0 days 00:00:00.290173,0 days 00:00:00.014222
68,69,3,1024,512,256,0.5,2,0 days 00:00:00.017661,0 days 00:00:23.676386,59.2,65.8,31,3137094.0,0 days 00:00:00.061999,0 days 00:00:00.265525,0 days 00:00:00.000750
69,70,3,1024,512,256,0.5,3,0 days 00:00:00.017661,0 days 00:00:33.685183,50.8,61.8,39,6993734.0,0 days 00:00:00.073941,0 days 00:00:00.271971,0 days 00:00:00.001516
70,71,3,1024,512,256,0.5,5,0 days 00:00:00.017661,0 days 00:00:46.035101,66.6,72.0,44,19334982.0,0 days 00:00:00.059837,0 days 00:00:00.272145,0 days 00:00:00.003785
71,72,3,1024,512,256,0.5,7,0 days 00:00:00.017661,0 days 00:01:11.204119,71.2,74.0,56,37846854.0,0 days 00:00:00.066497,0 days 00:00:00.280819,0 days 00:00:00.007157
72,73,3,1024,512,384,0.25,2,0 days 00:00:00.012387,0 days 00:00:16.359476,44.8,61.6,23,2109534.0,0 days 00:00:00.065000,0 days 00:00:00.275891,0 days 00:00:00.000583
73,74,3,1024,512,384,0.25,3,0 days 00:00:00.012387,0 days 00:00:39.288241,42.0,62.2,59,4702734.0,0 days 00:00:00.063903,0 days 00:00:00.277832,0 days 00:00:00.001102
74,75,3,1024,512,384,0.25,5,0 days 00:00:00.012387,0 days 00:00:44.266857,63.4,70.4,51,13000974.0,0 days 00:00:00.064015,0 days 00:00:00.271247,0 days 00:00:00.002745
75,76,3,1024,512,384,0.25,7,0 days 00:00:00.012387,0 days 00:00:50.020099,71.0,71.2,48,25448334.0,0 days 00:00:00.062813,0 days 00:00:00.273262,0 days 00:00:00.005235
76,77,3,1024,512,512,0.0,2,0 days 00:00:00.010727,0 days 00:00:20.081770,51.0,63.0,30,1568838.0,0 days 00:00:00.055720,0 days 00:00:00.269727,0 days 00:00:00.000419
77,78,3,1024,512,512,0.0,3,0 days 00:00:00.010727,0 days 00:00:33.634744,50.8,65.4,49,3497158.0,0 days 00:00:00.062186,0 days 00:00:00.275999,0 days 00:00:00.000797
78,79,3,1024,512,512,0.0,5,0 days 00:00:00.010727,0 days 00:00:47.467813,66.0,72.6,64,9667782.0,0 days 00:00:00.059638,0 days 00:00:00.276819,0 days 00:00:00.002001
79,80,3,1024,512,512,0.0,7,0 days 00:00:00.010727,0 days 00:00:48.883959,71.4,73.2,54,18923718.0,0 days 00:00:00.054834,0 days 00:00:00.276027,0 days 00:00:00.003707
80,81,3,1024,1024,256,0.75,2,0 days 00:00:00.013056,0 days 00:00:25.045754,42.4,60.4,31,3137094.0,0 days 00:00:00.067947,0 days 00:00:00.266265,0 days 00:00:00.000759
81,82,3,1024,1024,256,0.75,3,0 days 00:00:00.013056,0 days 00:00:36.487650,42.2,62.4,44,6993734.0,0 days 00:00:00.059686,0 days 00:00:00.273178,0 days 00:00:00.001509
82,83,3,1024,1024,256,0.75,5,0 days 00:00:00.013056,0 days 00:00:43.080982,63.4,70.0,42,19334982.0,0 days 00:00:00.064683,0 days 00:00:00.275352,0 days 00:00:00.003812
83,84,3,1024,1024,256,0.75,7,0 days 00:00:00.013056,0 days 00:01:19.496968,66.4,70.8,62,37846854.0,0 days 00:00:00.062045,0 days 00:00:00.280088,0 days 00:00:00.007291
84,85,3,1024,1024,512,0.5,2,0 days 00:00:00.013124,0 days 00:00:17.289074,32.2,58.2,27,1568838.0,0 days 00:00:00.054275,0 days 00:00:00.273963,0 days 00:00:00.000454
85,86,3,1024,1024,512,0.5,3,0 days 00:00:00.013124,0 days 00:00:27.127759,59.8,67.6,42,3497158.0,0 days 00:00:00.054906,0 days 00:00:00.275497,0 days 00:00:00.000819
86,87,3,1024,1024,512,0.5,5,0 days 00:00:00.013124,0 days 00:00:32.881607,54.0,67.0,42,9667782.0,0 days 00:00:00.054778,0 days 00:00:00.274480,0 days 00:00:00.002029
87,88,3,1024,1024,512,0.5,7,0 days 00:00:00.013124,0 days 00:00:49.320343,70.0,73.0,54,18923718.0,0 days 00:00:00.063942,0 days 00:00:00.274194,0 days 00:00:00.003727
88,89,3,1024,1024,768,0.25,2,0 days 00:00:00.012268,0 days 00:00:26.193456,49.8,64.2,41,1069174.0,0 days 00:00:00.060104,0 days 00:00:00.269500,0 days 00:00:00.000339
89,90,3,1024,1024,768,0.25,3,0 days 00:00:00.012268,0 days 00:00:37.986095,47.8,65.4,55,2383574.0,0 days 00:00:00.052280,0 days 00:00:00.275023,0 days 00:00:00.000606
90,91,3,1024,1024,768,0.25,5,0 days 00:00:00.012268,0 days 00:00:32.291680,63.6,70.8,45,6589654.0,0 days 00:00:00.055993,0 days 00:00:00.286243,0 days 00:00:00.001496
91,92,3,1024,1024,768,0.25,7,0 days 00:00:00.012268,0 days 00:00:39.535083,65.0,71.6,50,12898774.0,0 days 00:00:00.058928,0 days 00:00:00.270593,0 days 00:00:00.002744
92,93,3,1024,1024,1024,0.0,2,0 days 00:00:00.009674,0 days 00:00:23.611206,33.0,59.8,41,801030.0,0 days 00:00:00.060199,0 days 00:00:00.267785,0 days 00:00:00.000289
93,94,3,1024,1024,1024,0.0,3,0 days 00:00:00.009674,0 days 00:00:29.114341,33.2,60.6,44,1785670.0,0 days 00:00:00.056855,0 days 00:00:00.269687,0 days 00:00:00.000475
94,95,3,1024,1024,1024,0.0,5,0 days 00:00:00.009674,0 days 00:00:35.074797,62.6,70.2,50,4936518.0,0 days 00:00:00.047711,0 days 00:00:00.270630,0 days 00:00:00.001079
95,96,3,1024,1024,1024,0.0,7,0 days 00:00:00.009674,0 days 00:00:34.112059,65.0,72.4,48,9662790.0,0 days 00:00:00.050302,0 days 00:00:00.283948,0 days 00:00:00.001953
96,97,3,2048,256,64,0.75,2,0 days 00:00:00.051642,0 days 00:00:47.203069,56.2,61.4,33,12593782.0,0 days 00:00:00.171934,0 days 00:00:00.282081,0 days 00:00:00.002832
97,98,3,2048,256,64,0.75,3,0 days 00:00:00.051642,0 days 00:00:50.610588,54.0,62.4,32,28077142.0,0 days 00:00:00.165490,0 days 00:00:00.276586,0 days 00:00:00.005606
98,99,3,2048,256,64,0.75,5,0 days 00:00:00.051642,0 days 00:01:33.873986,55.6,68.2,38,77623894.0,0 days 00:00:00.178712,0 days 00:00:00.285643,0 days 00:00:00.014426
99,100,3,2048,256,64,0.75,7,0 days 00:00:00.051642,0 days 00:01:58.998454,60.6,69.8,31,151944022.0,0 days 00:00:00.167357,0 days 00:00:00.287592,0 days 00:00:00.027884
