,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
128,26,3,512,256,192,0.25,3,4,0 days 00:00:00.008216,0 days 00:00:04.782256,83.0,82.0,15,0 days 00:00:00.070460,0 days 00:00:00.268279,0 days 00:00:00.002033
129,26,3,512,256,192,0.25,3,5,0 days 00:00:00.008216,0 days 00:00:42.353006,91.0,91.0,80,0 days 00:00:00.067459,0 days 00:00:00.272145,0 days 00:00:00.001987
130,27,3,512,256,192,0.25,5,1,0 days 00:00:00.008216,0 days 00:00:36.051485,93.0,93.0,80,0 days 00:00:00.064151,0 days 00:00:00.271960,0 days 00:00:00.005160
131,27,3,512,256,192,0.25,5,2,0 days 00:00:00.008216,0 days 00:00:17.770494,86.0,87.0,37,0 days 00:00:00.053045,0 days 00:00:00.268669,0 days 00:00:00.005228
132,27,3,512,256,192,0.25,5,3,0 days 00:00:00.008216,0 days 00:00:31.710274,89.0,89.0,80,0 days 00:00:00.063717,0 days 00:00:00.276722,0 days 00:00:00.005086
133,27,3,512,256,192,0.25,5,4,0 days 00:00:00.008216,0 days 00:00:19.524146,91.0,91.0,44,0 days 00:00:00.050085,0 days 00:00:00.272024,0 days 00:00:00.005076
134,27,3,512,256,192,0.25,5,5,0 days 00:00:00.008216,0 days 00:00:31.305465,93.0,93.0,80,0 days 00:00:00.078027,0 days 00:00:00.272894,0 days 00:00:00.005143
135,28,3,512,256,192,0.25,7,1,0 days 00:00:00.008216,0 days 00:00:31.490498,93.0,93.0,80,0 days 00:00:00.061219,0 days 00:00:00.272208,0 days 00:00:00.009519
136,28,3,512,256,192,0.25,7,2,0 days 00:00:00.008216,0 days 00:00:39.866404,93.0,93.0,80,0 days 00:00:00.064285,0 days 00:00:00.285851,0 days 00:00:00.009654
137,28,3,512,256,192,0.25,7,3,0 days 00:00:00.008216,0 days 00:00:27.357858,95.0,95.0,80,0 days 00:00:00.067769,0 days 00:00:00.280490,0 days 00:00:00.009696
138,28,3,512,256,192,0.25,7,4,0 days 00:00:00.008216,0 days 00:00:12.741364,90.0,90.0,26,0 days 00:00:00.065931,0 days 00:00:00.275108,0 days 00:00:00.009693
139,28,3,512,256,192,0.25,7,5,0 days 00:00:00.008216,0 days 00:00:33.853228,92.0,92.0,80,0 days 00:00:00.036958,0 days 00:00:00.275500,0 days 00:00:00.009752
140,29,3,512,256,256,0.0,2,1,0 days 00:00:00.008627,0 days 00:00:21.968443,89.0,89.0,39,0 days 00:00:00.052370,0 days 00:00:00.269513,0 days 00:00:00.000732
141,29,3,512,256,256,0.0,2,2,0 days 00:00:00.008627,0 days 00:00:25.983432,89.0,89.0,48,0 days 00:00:00.041694,0 days 00:00:00.271237,0 days 00:00:00.000784
