,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
114,23,3,512,256,128,0.5,5,5,0 days 00:00:00.012391,0 days 00:01:28.011555,97.0,97.0,80,0 days 00:00:00.035372,0 days 00:00:00.278201,0 days 00:00:00.007422
115,24,3,512,256,128,0.5,7,1,0 days 00:00:00.012391,0 days 00:01:42.097602,97.0,97.0,74,0 days 00:00:00.039010,0 days 00:00:00.291941,0 days 00:00:00.014326
116,24,3,512,256,128,0.5,7,2,0 days 00:00:00.012391,0 days 00:01:38.561895,97.0,97.0,71,0 days 00:00:00.057471,0 days 00:00:00.281550,0 days 00:00:00.014339
117,24,3,512,256,128,0.5,7,3,0 days 00:00:00.012391,0 days 00:01:54.365660,97.0,97.0,80,0 days 00:00:00.052379,0 days 00:00:00.292183,0 days 00:00:00.014304
118,24,3,512,256,128,0.5,7,4,0 days 00:00:00.012391,0 days 00:01:46.348441,98.0,98.0,80,0 days 00:00:00.054764,0 days 00:00:00.285387,0 days 00:00:00.014175
119,24,3,512,256,128,0.5,7,5,0 days 00:00:00.012391,0 days 00:01:19.432230,98.0,98.0,61,0 days 00:00:00.052791,0 days 00:00:00.289345,0 days 00:00:00.014636
120,25,3,512,256,192,0.25,2,1,0 days 00:00:00.010914,0 days 00:00:13.849315,63.0,71.0,17,0 days 00:00:00.048583,0 days 00:00:00.272978,0 days 00:00:00.001122
121,25,3,512,256,192,0.25,2,2,0 days 00:00:00.010914,0 days 00:00:09.467644,70.0,66.0,18,0 days 00:00:00.037591,0 days 00:00:00.266553,0 days 00:00:00.001002
122,25,3,512,256,192,0.25,2,3,0 days 00:00:00.010914,0 days 00:01:12.287136,89.0,89.0,80,0 days 00:00:00.039114,0 days 00:00:00.266686,0 days 00:00:00.001060
123,25,3,512,256,192,0.25,2,4,0 days 00:00:00.010914,0 days 00:00:59.603823,86.0,87.0,80,0 days 00:00:00.032777,0 days 00:00:00.283329,0 days 00:00:00.001066
124,25,3,512,256,192,0.25,2,5,0 days 00:00:00.010914,0 days 00:00:10.335109,66.0,72.0,18,0 days 00:00:00.038539,0 days 00:00:00.269630,0 days 00:00:00.001008
125,26,3,512,256,192,0.25,3,1,0 days 00:00:00.010914,0 days 00:00:10.637134,76.0,82.0,16,0 days 00:00:00.061557,0 days 00:00:00.268644,0 days 00:00:00.001981
126,26,3,512,256,192,0.25,3,2,0 days 00:00:00.010914,0 days 00:01:22.235669,92.0,92.0,80,0 days 00:00:00.034270,0 days 00:00:00.266854,0 days 00:00:00.001919
127,26,3,512,256,192,0.25,3,3,0 days 00:00:00.010914,0 days 00:00:07.823110,72.0,66.0,13,0 days 00:00:00.046875,0 days 00:00:00.302303,0 days 00:00:00.002032
128,26,3,512,256,192,0.25,3,4,0 days 00:00:00.010914,0 days 00:00:21.404537,81.0,82.0,28,0 days 00:00:00.045731,0 days 00:00:00.272837,0 days 00:00:00.002126
129,26,3,512,256,192,0.25,3,5,0 days 00:00:00.010914,0 days 00:01:13.220627,95.0,96.0,80,0 days 00:00:00.046451,0 days 00:00:00.269576,0 days 00:00:00.002022
130,27,3,512,256,192,0.25,5,1,0 days 00:00:00.010914,0 days 00:01:36.268476,96.0,96.0,80,0 days 00:00:00.068231,0 days 00:00:00.273140,0 days 00:00:00.004919
131,27,3,512,256,192,0.25,5,2,0 days 00:00:00.010914,0 days 00:01:23.786990,94.0,94.0,80,0 days 00:00:00.029896,0 days 00:00:00.304198,0 days 00:00:00.005094
132,27,3,512,256,192,0.25,5,3,0 days 00:00:00.010914,0 days 00:01:09.069502,92.0,92.0,80,0 days 00:00:00.054018,0 days 00:00:00.282851,0 days 00:00:00.005197
133,27,3,512,256,192,0.25,5,4,0 days 00:00:00.010914,0 days 00:01:16.709733,95.0,96.0,80,0 days 00:00:00.034553,0 days 00:00:00.277671,0 days 00:00:00.005110
134,27,3,512,256,192,0.25,5,5,0 days 00:00:00.010914,0 days 00:01:14.945147,94.0,94.0,80,0 days 00:00:00.043707,0 days 00:00:00.275714,0 days 00:00:00.005097
135,28,3,512,256,192,0.25,7,1,0 days 00:00:00.010914,0 days 00:01:30.539998,96.0,96.0,80,0 days 00:00:00.039213,0 days 00:00:00.312369,0 days 00:00:00.009673
136,28,3,512,256,192,0.25,7,2,0 days 00:00:00.010914,0 days 00:01:36.807812,95.0,96.0,80,0 days 00:00:00.021871,0 days 00:00:00.285683,0 days 00:00:00.009794
137,28,3,512,256,192,0.25,7,3,0 days 00:00:00.010914,0 days 00:01:28.721841,97.0,97.0,80,0 days 00:00:00.061414,0 days 00:00:00.280661,0 days 00:00:00.009596
138,28,3,512,256,192,0.25,7,4,0 days 00:00:00.010914,0 days 00:01:59.285088,96.0,96.0,80,0 days 00:00:00.047382,0 days 00:00:00.272843,0 days 00:00:00.009644
139,28,3,512,256,192,0.25,7,5,0 days 00:00:00.010914,0 days 00:01:35.573491,93.0,94.0,80,0 days 00:00:00.061113,0 days 00:00:00.285587,0 days 00:00:00.009738
140,29,3,512,256,256,0.0,2,1,0 days 00:00:00.009995,0 days 00:00:09.568623,72.0,66.0,22,0 days 00:00:00.054256,0 days 00:00:00.268384,0 days 00:00:00.000779
141,29,3,512,256,256,0.0,2,2,0 days 00:00:00.009995,0 days 00:00:08.897979,68.0,56.99999999999999,19,0 days 00:00:00.042397,0 days 00:00:00.268922,0 days 00:00:00.000798
